전공명,과목명,교수명,이수구분,영역,추천이유
정치외교학과,창조적 사고와 글쓰기,,공통교양,없음,1학년지정과목
지리학과,창조적 사고와 글쓰기,,공통교양,없음,1학년지정과목
경영학과,창조적 사고와 글쓰기,,공통교양,없음,1학년지정과목
미디어커뮤니케이션학과,창조적 사고와 글쓰기,,공통교양,없음,1학년지정과목
심리학과,창조적 사고와 글쓰기,,공통교양,없음,1학년지정과목
동양화과,창조적 사고와 글쓰기,,공통교양,없음,1학년지정과목
서양화과,창조적 사고와 글쓰기,,공통교양,없음,1학년지정과목
조소과,창조적 사고와 글쓰기,,공통교양,없음,1학년지정과목
성악과,창조적 사고와 글쓰기,,공통교양,없음,1학년지정과목
기악과,창조적 사고와 글쓰기,,공통교양,없음,1학년지정과목
작곡과,창조적 사고와 글쓰기,,공통교양,없음,1학년지정과목
스포츠과학학부,창조적 사고와 글쓰기,,공통교양,없음,1학년지정과목
공예과,창조적 사고와 글쓰기,,공통교양,없음,1학년지정과목
디자인과,창조적 사고와 글쓰기,,공통교양,없음,1학년지정과목
경제학과,창조적 사고와 글쓰기,,공통교양,없음,1학년지정과목
